timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
57479248,0.019878542,0.0077837463,0.0073032794,0
57679248,0.019878542,0.0077837463,0.0073032794,1
57880048,0.019878542,0.0077837463,0.0073032794,1
58088048,0.019878542,0.0077837463,0.0073032794,1
58280848,0.019878542,0.0077837463,0.0073032794,1
58480848,0.019878542,0.0077837463,0.0073032794,1
58673648,0.019878542,0.0077837463,0.0073032794,1
58881660,0.019878542,0.0077837463,0.0073032794,1
59082448,0.019878542,0.0077837463,0.0073032794,1
59282449,0.019878542,0.0077837463,0.0073032794,1
59484049,0.019878542,0.0077837463,0.0073032794,1
59684048,0.019878542,0.0077837463,0.0073032794,1
255886448,0.019878542,0.0077837463,0.0073032794,1
256094461,0.019878542,0.0077837463,0.0073032794,1
256291248,0.019878542,0.0077837463,0.0073032794,1
256491254,0.019878542,0.0077837463,0.0073032794,1
256692050,0.019878542,0.0077837463,0.0073032794,1
256892049,0.019878542,0.0077837463,0.0073032794,1
257100853,0.019878542,0.0077837463,0.0073032794,1
257292847,0.019878542,0.0077837463,0.0073032794,1
257489648,0.019878542,0.0077837463,0.0073032794,1
257689648,0.019878542,0.0077837463,0.0073032794,1
257889648,0.019878542,0.0077837463,0.0073032794,1
258090448,0.019878542,0.0077837463,0.0073032794,1
258290448,0.019878542,0.0077837463,0.0073032794,1
258491248,0.019878542,0.0077837463,0.0073032794,1
258691248,0.019878542,0.0077837463,0.0073032794,1
