timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
28496424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,0,2,0,0,1
198527450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,1,255,0,0,1
294779967,0.0,0.0,1.0,4.0,4.0,0.0,0.0,176,1,0,1,240,1,1
294826890,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
294860857,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,1,240,1,1
295671587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,1,255,0,0,1
301790037,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
368555166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,1,255,0,0,1
433557300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,1,255,0,0,1
465363165,0.0,0.0,1.0,4.0,4.0,0.0,0.0,176,1,0,1,240,1,1
465390448,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
465449492,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,1,240,1,1
465591229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,1,255,0,0,1
472042867,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
634761294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,1,255,0,0,1
767330129,0.0,0.0,1.0,4.0,4.0,0.0,0.0,176,1,0,1,240,1,1
767341939,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
767432665,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,1,240,1,1
767685199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,1,255,0,0,1
774184817,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
817656341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,1,255,0,0,1
824626012,0.0,0.0,1.0,4.0,4.0,0.0,0.0,176,1,0,1,240,1,1
824644173,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
824686125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,1,240,1,1
825546370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,1,255,0,0,1
830486124,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
884223500,0.0,0.0,129.0,4.0,4.0,0.0,0.0,176,1,0,1,240,1,1
884326584,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,1,240,1,1
914078046,0.0,0.0,129.0,4.0,4.0,0.0,0.0,176,1,0,1,240,1,1
914170433,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,1,240,1,1
1024171213,0.0,0.0,129.0,4.0,4.0,0.0,0.0,176,1,0,1,240,1,1
1024269244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,1,240,1,1
1094824133,0.0,0.0,129.0,4.0,4.0,0.0,0.0,176,1,0,1,240,1,1
1094835933,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
1094887408,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
1094922920,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,1,240,1,1
1118503810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,1,255,0,0,1
1127580007,0.0,0.0,1.0,4.0,4.0,0.0,0.0,176,1,0,1,240,1,1
1127589512,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
1127671821,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,1,240,1,1
1128598150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,1,255,0,0,1
1135637126,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
1208611716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,1,255,0,0,1
1215499921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,1,255,0,0,1
1225221126,0.0,0.0,1.0,4.0,4.0,0.0,0.0,176,1,0,1,240,1,1
1225250742,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
1225321983,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,1,240,1,1
1225650056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,1,255,0,0,1
1232070199,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
1304159851,0.0,0.0,1.0,4.0,4.0,0.0,0.0,176,1,0,1,240,1,1
1304182763,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
1304259452,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,1,240,1,1
1304764841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510,1,1,255,0,0,1
1312027025,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
