timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
47289946,1,-1,0,1,0,0,1,0,0,0,0,0,0,0
283974320,1,-1,0,1,0,0,1,0,0,0,0,0,0,0
289176538,1,-1,0,1,0,0,1,0,0,0,0,0,0,0
294726018,2,-1,0,0,0,0,1,0,0,0,0,0,0,0
294827001,2,-1,0,0,0,0,1,0,1,0,0,0,0,0
294882950,3,-1,0,1,0,0,1,0,0,0,0,0,0,0
300492701,3,-1,0,1,0,0,1,0,0,0,0,0,0,0
311294581,4,-1,0,1,0,0,1,0,0,0,0,0,0,0
426335396,4,-1,0,1,0,0,1,0,0,0,0,0,0,0
465341573,5,-1,0,0,0,0,1,0,0,0,0,0,0,0
465390547,5,-1,0,0,0,0,1,0,1,0,0,0,0,0
465443893,6,-1,0,1,0,0,1,0,0,0,0,0,0,0
468194615,6,-1,0,1,0,0,1,0,0,0,0,0,0,0
475793898,7,-1,0,1,0,0,1,0,0,0,0,0,0,0
767288627,8,-1,0,0,0,0,1,0,0,0,0,0,0,0
767341961,8,-1,0,0,0,0,1,0,1,0,0,0,0,0
767389877,9,-1,0,1,0,0,1,0,0,0,0,0,0,0
771735527,9,-1,0,1,0,0,1,0,0,0,0,0,0,0
782437774,10,-1,0,1,0,0,1,0,0,0,0,0,0,0
824593126,11,-1,0,0,0,0,1,0,0,0,0,0,0,0
824644194,11,-1,0,0,0,0,1,0,1,0,0,0,0,0
824701360,12,-1,0,1,0,0,1,0,0,0,0,0,0,0
829937370,12,-1,0,1,0,0,1,0,0,0,0,0,0,0
830486159,12,-1,0,1,0,0,1,0,0,0,0,0,0,0
884194887,13,-1,0,0,0,0,1,0,0,0,0,0,0,0
884295208,14,-1,0,1,0,0,1,0,0,0,0,0,0,0
914051707,15,-1,0,0,0,0,1,0,0,0,0,0,0,0
914152124,16,-1,0,1,0,0,1,0,0,0,0,0,0,0
1024147964,17,-1,0,0,0,0,1,0,0,0,0,0,0,0
1024249757,18,-1,0,1,0,0,1,0,0,0,0,0,0,0
1094786815,19,-1,0,0,0,0,1,0,0,0,0,0,0,0
1094835963,19,-1,0,0,0,0,1,0,1,0,0,0,0,0
1094887439,19,-1,0,0,0,0,1,0,0,0,0,0,0,0
1094936498,20,-1,0,1,0,0,1,0,0,0,0,0,0,0
1103803214,21,-1,0,1,0,0,1,0,0,0,0,0,0,0
1115237600,21,-1,0,1,0,0,1,0,0,0,0,0,0,0
1127541306,22,-1,0,0,0,0,1,0,0,0,0,0,0,0
1127589532,22,-1,0,0,0,0,1,0,1,0,0,0,0,0
1127643926,23,-1,0,1,0,0,1,0,0,0,0,0,0,0
1131291236,23,-1,0,1,0,0,1,0,0,0,0,0,0,0
1142990379,24,-1,0,1,0,0,1,0,0,0,0,0,0,0
1184594784,24,-1,0,1,0,0,1,0,0,0,0,0,0,0
1225202674,25,-1,0,0,0,0,1,0,0,0,0,0,0,0
1225250755,25,-1,0,0,0,0,1,0,1,0,0,0,0,0
1225302239,26,-1,0,1,0,0,1,0,0,0,0,0,0,0
1229721770,26,-1,0,1,0,0,1,0,0,0,0,0,0,0
1232070240,26,-1,0,1,0,0,1,0,0,0,0,0,0,0
1242229627,27,-1,0,1,0,0,1,0,0,0,0,0,0,0
1304131345,28,-1,0,0,0,0,1,0,0,0,0,0,0,0
1304182782,28,-1,0,0,0,0,1,0,1,0,0,0,0,0
1304236826,29,-1,0,1,0,0,1,0,0,0,0,0,0,0
1310579075,29,-1,0,1,0,0,1,0,0,0,0,0,0,0
1312027117,29,-1,0,1,0,0,1,0,0,0,0,0,0,0
1326831592,30,-1,0,1,0,0,1,0,0,0,0,0,0,0
